ID,TIPO DE VEHICULO,MARCA DE VEHÍCULOS
1,1,ABARTH
2,1,ACURA
3,1,ALFA ROMEO
4,1,ALPINE
5,1,ASTON MARTIN
6,1,AUDI
7,1,BAIC
8,1,BENTLEY
9,1,BORGWARD
10,1,BUGATTI
11,1,BUICK
12,1,BYD
13,1,CADILLAC
14,1,CATERHAM
15,1,CBO MOTORS
16,1,CHANGAN
17,1,CHERY
18,1,CHEVROLET
19,1,CHIREY
20,1,CHRYSLER
21,1,CITROËN
22,1,CUPRA
23,1,DACIA
24,1,DFSK
25,1,DODGE
26,1,DS AUTOMOBILES
27,1,FARADAY FUTURE
28,1,FAW
29,1,FERRARI
30,1,FIAT
31,1,FORD
32,1,FORNASARI
33,1,GIANT MOTORS
34,1,GMC
35,1,GTA MOTOR
36,1,HUMMER
37,1,HURTAN
38,1,HYUNDAI
39,1,INFINITI
40,1,JAC
41,1,JAGUAR
42,1,JEEP
43,1,KIA MOTORS
44,1,KOENIGSEGG
45,1,LADA
46,1,LAMBORGHINI
47,1,LANCIA
48,1,LAND ROVER
49,1,LEXUS
50,1,LINCOLN
51,1,LOTUS
52,1,MAHINDRA
53,1,MASERATI
54,1,MAYBACH
55,1,MAZDA
56,1,MCLAREN
57,1,MERCURY
58,1,MG
59,1,MINI
60,1,MORGAN
61,1,OPEL
62,1,PAGANI
63,1,PEUGEOT
64,1,PIAGGIO
65,1,POLARIS
66,1,POLESTAR
67,1,PONTIAC
68,1,PORSCHE
69,1,RAM
70,1,ROLLS-ROYCE
71,1,SAAB
72,1,SEAT
73,1,?KODA
74,1,SMART
75,1,SRT
76,1,SSANGYONG
77,1,SUBARU
78,1,TATA
79,1,TESLA
80,1,TOYOTA
81,1,TRAMONTANA.
82,1,UROVESA
83,1,VOLKSWAGEN
84,1,VUHL 
85,1,W MOTORS
86,1,ZACUA
87,2,ISUZU
88,2,IVECO
89,2,MERCEDES-BENZ
90,2,MITSUBISHI
91,2,NISSAN
92,2,RENAULT
93,2,VOLVO
94,3,BMW
95,3,HONDA
96,3,KTM
97,3,SUZUKI
98,4,DAIMIER
99,4,DINA
100,4,HINO
101,4,INTERNATIONAL
102,4,KENWORTH
103,4,MAN
104,4,NAVISTAR
105,4,SCANIA
106,4,DAF TRUCKS
107,5,ABE STAR
108,5,ADLER (DURKOPP ADLER)
109,5,ADMA
110,5,ADRIA
111,5,AFW
112,5,AGON
113,5,AKT
114,5,ALBA
115,5,ALBERT
116,5,ALBERTUS
117,5,ALFER
118,5,APRILIA
119,5,ARDIE
120,5,ARIMOFA
121,5,AZUKA
122,5,BAJAJ
123,5,BAJAJ BOXER
124,5,BAOTIAN
125,5,BENELLI
126,5,BRENNABOR
127,5,BULTACO
128,5,CHANG JIANG
129,5,DERBI
130,5,DINAMO
131,5,DKW
132,5,D-RAD
133,5,DUCATI
134,5,EVOKE
135,5,EXPRESS WERKE
136,5,GAS GAS
137,5,GIMSON
138,5,GLAS
139,5,HARLEY DAVIDSON
140,5,HECKER
141,5,HERCULES
142,5,HODAKA
143,5,HOFFMAN
144,5,HOREX
145,5,IFA
146,5,INDIA
147,5,ITALIKA
148,5,IZUKA
149,5,JINAN QINGQI
150,5,JINCHENG SUZUKI
151,5,KALEX
152,5,KAWASAKI
153,5,KEEWAY
154,5,KILLINGER AND FREUND
155,5,KR MOTORS
156,5,KREIDLER
157,5,KURAZAI
158,5,LIFAN
159,5,LONCIN HOLDINGS
160,5,MAICO
161,5,MARS
162,5,MARUSHO
163,5,MEGOLA
164,5,MEGURO
165,5,MIYATA
166,5,MONTESA HONDA
167,5,MOTOCICLETAS INDIAN
168,5,MOTOS LUBE
169,5,MOTOTRANS
170,5,MUNCH
171,5,MV AGUSTA
172,5,MZ MOTORENWERKE ZSCHOPAU GMBH
173,5,NEANDER
174,5,ORIONETTE
175,5,OSSA
176,5,PROPHETE
177,5,QIANJIANG
178,5,RIEJU
179,5,RIKUO MOTOS
180,5,SACHS
181,5,SANGLAS
182,5,SHERCO
183,5,SIMSON
184,5,THUNDERBIKE
185,5,TOHATSU
186,5,TORNAX
187,5,TRECK MOTORS
188,5,TRIUMPH
189,5,TVS
190,5,VENTO
191,5,VESPA
192,5,VICTORIA
193,5,VICTORIA
194,5,YAMAHA
195,5,YINXIANG
196,5,ZNEN
197,5,ZONGSHEN
198,5,ZUNDAPP
199,5,CARABELA
